steps,reward,latency,bandwidth
9627,-5.895,2.002,0.14478646
9649,-5.862,2.552,0.11488941
9667,-5.856,2.51,0.06793869
9670,1.243,0.307,0.30570447
9676,-0.663,0.858,0.04316252
9682,-0.76,0.843,0.14181017
9727,-13.949,5.041,0.04316252
9735,0.181,0.46,0.08052643
9773,-13.904,4.705,0.1292017
9790,-5.164,2.187,0.25609067
9793,1.16,0.22,0.25082545
9800,-0.702,0.719,0.27531128
9807,-0.56,0.898,0.1292017
9810,1.132,0.173,0.20707
9815,0.313,0.56,0.65756879
9819,0.205,0.343,0.27531128
9822,1.139,0.362,0.25609067
9830,0.545,0.889,0.06793869
9859,-9.228,3.879,0.01936618
9862,1.09,0.256,0.1709423
9879,-5.314,2.046,0.20848115
9881,1.089,0.222,0.16731505
9883,1.025,0.087,0.28737835
9898,-3.273,1.704,0.05767309
9905,0.487,0.706,0.38413427
9913,-0.608,0.721,0.19993387
9925,-1.1,1.871,0.01936618
9948,-6.632,3.172,0.08052643
9955,-1.476,1.213,0.1341009
9964,-1.574,0.93,0.33628948
9971,-0.519,0.742,0.24642506
9980,-1.754,0.453,0.82091068
9985,-0.702,0.677,0.02606726
9993,-1.614,1.316,0.14478646
10000,0.348,0.731,0.20848115
10004,0.297,0.442,0.08052643
10010,0.49,0.91,0.16225102
10024,-4.451,1.075,0.08052643
10027,1.143,0.259,0.31826592
10029,1.03,0.188,0.19993387
10034,1.318,0.771,0.20582358
10043,-1.486,1.203,0.14920605
10059,-4.275,1.576,0.1292017
10072,-1.391,1.093,0.18957809
10074,1.088,0.138,0.28737835
10091,-6.225,1.89,0.11262371
10136,-14.42,5.37,0.11262371
10150,-4.025,1.793,0.08052643
10155,0.134,0.381,0.01936618
10157,1.175,0.281,0.66602862
10158,1.01,0.292,0.9962243
10182,-6.444,3.315,0.02606726
10202,-7.07,2.267,0.22252502
10208,1.432,0.8,0.19993387
10244,-9.865,3.206,0.03211208
10255,-3.602,1.203,0.01936618
10265,-1.587,0.564,0.2659298
10276,-2.526,0.977,0.11488941
10278,1.022,0.133,0.31826592
10283,0.309,0.96,0.32184304
10287,1.243,0.355,0.28737835
10321,-9.472,3.928,0.02606726
10348,-10.794,3.288,0.03211208
10356,-0.641,0.979,0.24642506
10358,1.177,0.362,0.14478646
10363,0.553,1.109,0.86050439
10372,-1.498,0.945,0.06793869
10380,-1.619,1.026,0.11488941
10385,0.226,0.601,0.1292017
10387,1.277,0.294,0.92304744
10410,-4.972,2.76,0.02606726
10444,-13.425,4.914,0.04316252
10445,1.01,0.071,0.97497347
10466,-8.058,2.341,0.25033968
10473,0.494,0.91,0.01936618
10491,-4.099,1.682,0.08052643
10493,1.084,0.142,0.82091068
10495,1.126,0.219,0.50464297
10496,1.01,0.123,0.35206481
10502,-1.689,0.572,0.04316252
10503,1.01,0.124,0.9005571
10524,-6.879,2.714,0.01936618
10534,-2.577,1.035,0.1709423
10540,0.349,0.526,0.25033968
10541,1.01,0.061,0.11441689
10545,0.227,0.523,0.14478646
10558,-2.102,1.724,0.02606726
10571,-2.172,1.613,0.18957809
10585,-1.351,1.596,0.01936618
10589,0.296,0.513,0.1341009
10601,-1.355,1.224,0.06793869
10611,-0.473,1.218,0.1341009
10615,1.252,0.592,0.05767309
10616,1.01,0.073,0.30570447
10631,-3.147,1.635,0.06793869
10650,-4.997,2.156,0.20848115
10656,0.275,0.625,0.11488941
10657,1.01,0.02,0.91373003
10666,-1.682,0.568,0.1709423
10674,-0.435,0.852,0.08052643
10682,-1.483,1.076,0.11262371
10685,1.189,0.307,0.05767309
10692,0.604,0.84,0.1709423
10699,0.486,1.025,0.33911364
10710,-2.462,1.313,0.08052643
10723,-2.571,1.33,0.04316252
10738,-4.377,2.001,0.02606726
10741,0.074,0.334,0.50464297
10752,-2.189,1.424,0.14181017
10760,-0.429,1.246,0.04316252
10766,0.236,0.51,0.08052643
10789,-6.801,3.098,0.03211208
10801,-0.635,0.952,0.02606726
10808,-0.427,1.105,0.06793869
10809,1.01,0.07,0.66896614
10816,0.534,0.838,0.05767309
10819,1.28,0.283,0.08052643
10842,-7.148,3.025,0.01936618
10860,-5.848,2.61,0.03211208
10873,-3.38,1.14,0.08052643
10909,-14.924,4.259,0.08052643
10914,-0.702,0.695,0.14478646
10919,1.227,0.449,0.25082545
10925,0.404,0.64,0.1709423
10926,1.01,0.267,0.92304744
10936,-2.447,1.035,0.11441689
10953,-5.481,1.677,0.1709423
10970,-4.162,1.886,0.20707
10975,0.26,0.599,0.11488941
10976,1.01,0.184,0.38138034
10996,-6.422,1.43,0.02606726
10999,0.175,0.458,0.32184304
11007,-1.545,1.087,0.05767309
11021,-5.633,1.469,0.11262371
11023,1.187,0.217,0.45673309
11024,1.01,0.193,0.5901214
11032,-1.565,0.95,0.1709423
11034,1.187,0.297,0.24058643
11035,1.01,0.163,0.33911364
11042,-0.598,1.291,0.04316252
11067,-8.093,3.025,0.01936618
11077,-0.092,1.529,0.11262371
11087,-1.197,1.378,0.1341009
11089,1.083,0.267,0.14478646
11095,-0.654,1.149,0.03211208
11106,-3.803,0.57,0.47105341
11114,-1.638,0.778,0.2659298
11140,-7.79,2.794,0.01936618
11149,-1.372,1.423,0.16225102
11151,1.15,0.253,0.04316252
11155,1.297,0.393,0.25033968
11158,1.148,0.356,0.11262371
11160,1.078,0.222,0.20582358
11166,0.362,0.833,0.14181017
11168,1.077,0.191,0.56344817
11171,1.254,0.359,0.4100498
11180,-0.383,1.201,0.04316252
11182,1.136,0.2,0.8798815
11189,0.408,0.836,0.04316252
11190,1.01,0.126,0.93541567
11198,-0.752,0.648,0.04316252
11206,-0.443,0.947,0.11441689
11209,1.205,0.234,0.52516486
11217,-1.435,1.018,0.02606726
11233,-3.164,1.89,0.08052643
11236,1.381,0.531,0.14478646
11248,-1.278,1.501,0.11441689
11257,-0.599,0.835,0.06793869
11269,-2.285,1.515,0.16731505
11274,0.423,0.716,0.11441689
11275,1.01,0.091,0.11488941
11287,-1.101,1.625,0.18957809
11290,0.03,0.293,0.25609067
11302,-2.326,1.508,0.1709423
11315,-2.358,1.814,0.06793869
11317,1.155,0.275,0.1292017
11321,0.189,0.331,0.25033968
11323,1.074,0.164,0.06793869
11326,1.317,0.327,0.5823415
11329,1.223,0.226,0.08052643
11348,-3.773,2.948,0.08052643
11355,-1.688,0.788,0.20582358
11363,-0.388,1.512,0.02606726
11366,1.249,0.36,0.20582358
11369,1.472,0.476,0.08052643
11372,1.257,0.401,0.20582358
11383,-1.571,0.874,0.31826592
11389,0.361,0.777,0.05767309
11392,1.441,0.501,0.14181017
11396,0.244,0.479,0.66602862
11403,0.529,0.945,0.05767309
11407,0.158,0.325,0.30570447
11421,-2.122,1.721,0.08052643
11442,-7.035,2.266,0.11488941
11447,0.336,0.597,0.05767309
11454,-0.702,0.628,0.52516486
11460,-0.7,0.595,0.25082545
11464,0.097,0.242,0.1709423
11467,1.28,0.414,0.60818677
11476,-0.429,0.901,0.06793869
11485,-2.593,1.081,0.16731505
11489,1.222,0.241,0.06793869
11495,-0.687,0.601,0.06793869
